name,url,description,combined_text,text_for_embedding
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,,Phone Banker - Short Form ,Phone Banker - Short Form 
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,,Prep/Line Cook Solution ,Prep/Line Cook Solution 
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,,Professional + 7.0 Solution ,Professional + 7.0 Solution 
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,,Professional + 7.1 (Americas) ,Professional + 7.1 (Americas) 
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,,Professional + 7.1 (International) ,Professional + 7.1 (International) 
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,,Professional 7.0 Solution ,Professional 7.0 Solution 
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,,Professional 7.1 (International) ,Professional 7.1 (International) 
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,,Professional 8.0 JFA ,Professional 8.0 JFA 
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,,Professional/Individual Contributor - Short Form ,Professional/Individual Contributor - Short Form 
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,,Project Manager - Short Form ,Project Manager - Short Form 
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,,Docker (New) ,Docker (New) 
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,,Dojo (New) ,Dojo (New) 
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,,Drupal (New) ,Drupal (New) 
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,,DSI v1.1 Interpretation Report ,DSI v1.1 Interpretation Report 
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,,Econometrics (New) ,Econometrics (New) 
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,,Economics (New) ,Economics (New) 
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,,Electrical and Electronics Engineering (New) ,Electrical and Electronics Engineering (New) 
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,,Electrical Engineering (New) ,Electrical Engineering (New) 
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,,Electronics & Telecommunications Engineering (New) ,Electronics & Telecommunications Engineering (New) 
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,,Electronics and Embedded Systems Engineering (New) ,Electronics and Embedded Systems Engineering (New) 
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,,Electronics and Semiconductor Engineering (New) ,Electronics and Semiconductor Engineering (New) 
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,,English Comprehension (New) ,English Comprehension (New) 
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,,Proof Operator - Processing Specialist -Short Form ,Proof Operator - Processing Specialist -Short Form 
Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,,Reservation Agent Solution ,Reservation Agent Solution 
Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,,Restaurant Manager Solution ,Restaurant Manager Solution 
Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,,Restaurant Supervisor Solution ,Restaurant Supervisor Solution 
Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,,Retail Consultant Solution ,Retail Consultant Solution 
Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,,Retail Manager w/ Sales Solution ,Retail Manager w/ Sales Solution 
Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,,Retail Sales Associate Solution ,Retail Sales Associate Solution 
Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,,Sales Director Solution ,Sales Director Solution 
Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,,Sales Engineer Solution ,Sales Engineer Solution 
Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,,Sales Manager Solution ,Sales Manager Solution 
Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,,Sales Professional 7.0 Solution ,Sales Professional 7.0 Solution 
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,,Sales Professional 7.1 (Americas) ,Sales Professional 7.1 (Americas) 
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,,Enterprise Java Beans (New) ,Enterprise Java Beans (New) 
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,,Enterprise Leadership Report 1.0 ,Enterprise Leadership Report 1.0 
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,,Enterprise Leadership Report 2.0 ,Enterprise Leadership Report 2.0 
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,,Entry Level Cashier Solution ,Entry Level Cashier Solution 
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,,Entry Level Customer Serv-Retail & Contact Center ,Entry Level Customer Serv-Retail & Contact Center 
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,,Entry Level Customer Service (General) Solution ,Entry Level Customer Service (General) Solution 
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,,Entry Level Hotel Front Desk Solution ,Entry Level Hotel Front Desk Solution 
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,,Entry Level Sales Solution ,Entry Level Sales Solution 
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,,Entry Level Technical Support Solution ,Entry Level Technical Support Solution 
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,,ETL Testing (New) ,ETL Testing (New) 
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,,Executive Scenarios ,Executive Scenarios 
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,,Executive Scenarios Narrative Report ,Executive Scenarios Narrative Report 
Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,,Sales Professional Solution ,Sales Professional Solution 
Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,,Sales Representative Solution ,Sales Representative Solution 
Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,,Sales Supervisor Solution ,Sales Supervisor Solution 
Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,,Sales Support Specialist Solution ,Sales Support Specialist Solution 
Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,,Senior Insurance Agent Solution ,Senior Insurance Agent Solution 
Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,,Senior Sales Professional Solution ,Senior Sales Professional Solution 
Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,,Server Solution ,Server Solution 
Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,,Service Associate Solution ,Service Associate Solution 
Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,,Service Supervisor Solution ,Service Supervisor Solution 
Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,,Stock Clerk Solution ,Stock Clerk Solution 
Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,,Store Manager 7.0 Solution ,Store Manager 7.0 Solution 
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,,Store Manager 7.1 (Americas) ,Store Manager 7.1 (Americas) 
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,,Executive Scenarios Profile Report ,Executive Scenarios Profile Report 
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,,ExpressJS (New) ,ExpressJS (New) 
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,,Filing - Names (R1) ,Filing - Names (R1) 
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,,Filing - Numbers ,Filing - Numbers 
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,,Financial Accounting (New) ,Financial Accounting (New) 
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,,Financial and Banking Services (New) ,Financial and Banking Services (New) 
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,,Fire Engineering (New) ,Fire Engineering (New) 
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,,Following Instructions v1 - UK (R1) ,Following Instructions v1 - UK (R1) 
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,,Following Instructions v1 - US (R2) ,Following Instructions v1 - US (R2) 
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,,Food and Beverage Services (New) ,Food and Beverage Services (New) 
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,,Food Science (New) ,Food Science (New) 
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,,Front Office Management (New) ,Front Office Management (New) 
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,,Store Manager 7.1 (International) ,Store Manager 7.1 (International) 
Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,,Store Manager Solution ,Store Manager Solution 
Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,,Supervisor - Short Form ,Supervisor - Short Form 
Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,,Supervisor 7.0 Solution ,Supervisor 7.0 Solution 
Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,,Supervisor 7.1 (Americas) ,Supervisor 7.1 (Americas) 
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,,Supervisor 7.1 (International) ,Supervisor 7.1 (International) 
Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,,Support Associate Solution ,Support Associate Solution 
Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,,Support Supervisor Solution ,Support Supervisor Solution 
Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,,Technical Sales Associate Solution ,Technical Sales Associate Solution 
Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,,Technician/Technologist Solution ,Technician/Technologist Solution 
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,,Technology Professional 8.0 Job Focused Assessment ,Technology Professional 8.0 Job Focused Assessment 
Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,,Telenurse Solution ,Telenurse Solution 
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,,Fundamentals of Chemistry (New) ,Fundamentals of Chemistry (New) 
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,,Fundamentals of Physics (New) ,Fundamentals of Physics (New) 
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,,General Diseases (New) ,General Diseases (New) 
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,,Geoinformatics Engineering (New) ,Geoinformatics Engineering (New) 
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,,Geoscience Engineering (New) ,Geoscience Engineering (New) 
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,,GIT (New) ,GIT (New) 
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,,Global Skills Assessment ,Global Skills Assessment 
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,,Graduate Scenarios ,Graduate Scenarios 
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,,Graduate Scenarios Narrative Report ,Graduate Scenarios Narrative Report 
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,,Graduate Scenarios Profile Report ,Graduate Scenarios Profile Report 
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,,Hibernate (New) ,Hibernate (New) 
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,,HIPAA (Security) ,HIPAA (Security) 
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,,Teller 7.0 ,Teller 7.0 
Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,,Teller with Sales - Short Form ,Teller with Sales - Short Form 
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,,Transcriptionist Solution ,Transcriptionist Solution 
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,,Workplace Safety - Individual 7.0 Solution ,Workplace Safety - Individual 7.0 Solution 
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,,Workplace Safety - Individual 7.1 (Americas) ,Workplace Safety - Individual 7.1 (Americas) 
Workplace Safety - Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,,Workplace Safety - Team 7.0 Solution ,Workplace Safety - Team 7.0 Solution 
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,,Workplace Safety - Team 7.1 (Americas) ,Workplace Safety - Team 7.1 (Americas) 
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,,Workplace Safety - Team 7.1 (International) ,Workplace Safety - Team 7.1 (International) 
Workplace Safety Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,,Workplace Safety Solution ,Workplace Safety Solution 
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,,HiPo Assessment Report 1.0 ,HiPo Assessment Report 1.0 
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,,HiPo Assessment Report 2.0 ,HiPo Assessment Report 2.0 
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,,HiPo Unlocking Potential Report 2.0 ,HiPo Unlocking Potential Report 2.0 
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,,Housekeeping (New) ,Housekeeping (New) 
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,,HTML/CSS (New) ,HTML/CSS (New) 
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,,HTML5 (New) ,HTML5 (New) 
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,,Human Resources (New) ,Human Resources (New) 
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,,IBM DataStage (New) ,IBM DataStage (New) 
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,,IBM Sterling Order Management System (New) ,IBM Sterling Order Management System (New) 
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,,Industrial Engineering (New) ,Industrial Engineering (New) 
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,,Informatica (Architecture) (New) ,Informatica (Architecture) (New) 
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,,Informatica (Developer) (New) ,Informatica (Developer) (New) 
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,,Instrumentation Engineering (New) ,Instrumentation Engineering (New) 
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,,Interpersonal Communications ,Interpersonal Communications 
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,,Interviewing and Hiring Concepts (U.S.) ,Interviewing and Hiring Concepts (U.S.) 
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,,iOS Development (New) ,iOS Development (New) 
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,,ITIL (IT Infrastructure Library) (New) ,ITIL (IT Infrastructure Library) (New) 
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,,Java 2 Platform Enterprise Edition 1.4 Fundamental ,Java 2 Platform Enterprise Edition 1.4 Fundamental 
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,,Java 8 (New) ,Java 8 (New) 
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,,Java Design Patterns (New) ,Java Design Patterns (New) 
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,,Java Frameworks (New) ,Java Frameworks (New) 
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,,Java Platform Enterprise Edition 7 (Java EE 7) ,Java Platform Enterprise Edition 7 (Java EE 7) 
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,,Java Web Services (New) ,Java Web Services (New) 
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,,JavaScript (New) ,JavaScript (New) 
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,,Jenkins (New) ,Jenkins (New) 
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,,Job Control Language (New) ,Job Control Language (New) 
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,,jQuery (New) ,jQuery (New) 
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,,Kubernetes (New) ,Kubernetes (New) 
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,,Linux Administration (New) ,Linux Administration (New) 
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,,Linux Operating System ,Linux Operating System 
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,,Linux Programming (General) ,Linux Programming (General) 
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,,Load Runner (New) ,Load Runner (New) 
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,,Management Scenarios ,Management Scenarios 
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,,Managerial Scenarios Candidate Report ,Managerial Scenarios Candidate Report 
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,,Managerial Scenarios Narrative Report ,Managerial Scenarios Narrative Report 
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,,Managerial Scenarios Profile Report ,Managerial Scenarios Profile Report 
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,,Manual Testing (New) ,Manual Testing (New) 
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,,Manufac. & Indust. - Mechanical & Vigilance 8.0 ,Manufac. & Indust. - Mechanical & Vigilance 8.0 
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,,Manufac. & Indust. - Safety & Dependability 8.0 ,Manufac. & Indust. - Safety & Dependability 8.0 
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,,Manufacturing & Industrial - Essential Focus 8.0 ,Manufacturing & Industrial - Essential Focus 8.0 
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,,Manufacturing & Industrial - Mechanical Focus 8.0 ,Manufacturing & Industrial - Mechanical Focus 8.0 
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,,Manufacturing & Industrial - Vigilance Focus 8.0 ,Manufacturing & Industrial - Vigilance Focus 8.0 
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,,Marketing (New) ,Marketing (New) 
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,,Maven (New) ,Maven (New) 
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,,Mechanical Engineering (New) ,Mechanical Engineering (New) 
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,,Mechatronics Engineering (New) ,Mechatronics Engineering (New) 
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,,Medical Terminology (New) ,Medical Terminology (New) 
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,,Metallurgical Engineering (New) ,Metallurgical Engineering (New) 
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,,MFS 360 Enterprise Leadership Report ,MFS 360 Enterprise Leadership Report 
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,,MFS 360 UCF Group Report ,MFS 360 UCF Group Report 
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,,MFS 360 UCF Performance Potential Dev Tips Report ,MFS 360 UCF Performance Potential Dev Tips Report 
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,,MFS 360 UCF Standard Report ,MFS 360 UCF Standard Report 
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,,Micro Focus Unified Functional Testing (New) ,Micro Focus Unified Functional Testing (New) 
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,,Microservices (New) ,Microservices (New) 
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,,Microsoft Dynamics Development (New) ,Microsoft Dynamics Development (New) 
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,,Microsoft Excel 365 - Essentials (New) ,Microsoft Excel 365 - Essentials (New) 
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,,Microsoft Excel 365 (New) ,Microsoft Excel 365 (New) 
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,,Microsoft Outlook 2013 (adaptive) ,Microsoft Outlook 2013 (adaptive) 
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,,Microsoft PowerPoint 365 - Essentials (New) ,Microsoft PowerPoint 365 - Essentials (New) 
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,,Microsoft SQL Server 2014 Programming ,Microsoft SQL Server 2014 Programming 
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,,Microsoft Windows Server 2012 Administration ,Microsoft Windows Server 2012 Administration 
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,,Microsoft Word 365 - Essentials (New) ,Microsoft Word 365 - Essentials (New) 
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,,Microsoft Word 365 (New) ,Microsoft Word 365 (New) 
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,,Mineral Engineering (New) ,Mineral Engineering (New) 
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,,Mining Engineering (New) ,Mining Engineering (New) 
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,,Mobility (New) ,Mobility (New) 
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,,Molecular Biology (New) ,Molecular Biology (New) 
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,,MongoDB (New) ,MongoDB (New) 
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,,Motivation Questionnaire MQM5 ,Motivation Questionnaire MQM5 
